x,y,theta
8.0,5.0,1.5707963267948966
8.0,5.5,1.5707963267948966
8.0,6.0,1.5707963267948966
8.0,6.5,1.5707963267948966
8.0,7.0,1.5707963267948966
8.0,7.0,1.5707963267948966
8.0,7.5,1.5707963267948966
8.0,8.0,1.5707963267948966
8.0,8.5,1.5707963267948966
8.0,9.0,1.5707963267948966
8.0,9.0,1.5707963267948966
8.0,9.5,1.5707963267948966
8.0,10.0,1.5707963267948966
8.0,10.5,1.5707963267948966
8.0,11.0,1.5707963267948966
8.0,11.0,1.5707963267948966
8.0,11.5,1.5707963267948966
8.0,12.0,1.5707963267948966
8.0,12.5,1.5707963267948966
8.0,13.0,1.5707963267948966
8.0,13.0,1.5707963267948966
8.0,13.5,1.5707963267948966
8.0,14.0,1.5707963267948966
8.0,14.5,1.5707963267948966
8.0,15.0,1.5707963267948966
8.0,15.0,0.0
8.0,15.0,0.0
8.0,15.0,0.0
8.0,15.0,1.5707963267948966
8.0,15.5,1.5707963267948966
8.0,16.0,1.5707963267948966
8.0,16.5,1.5707963267948966
8.0,17.0,1.5707963267948966
8.0,17.0,1.5707963267948966
8.0,17.5,1.5707963267948966
8.0,18.0,1.5707963267948966
8.0,18.5,1.5707963267948966
8.0,19.0,1.5707963267948966
8.0,19.0,1.5707963267948966
8.0,19.5,1.5707963267948966
8.0,20.0,1.5707963267948966
8.0,20.5,1.5707963267948966
8.0,21.0,1.5707963267948966
8.0,21.0,1.5707963267948966
8.0,21.5,1.5707963267948966
8.0,22.0,1.5707963267948966
8.0,22.5,1.5707963267948966
8.0,23.0,1.5707963267948966
8.0,23.0,1.5707963267948966
8.0,23.5,1.5707963267948966
8.0,24.0,1.5707963267948966
8.0,24.5,1.5707963267948966
8.0,25.0,1.5707963267948966
8.0,25.5,1.5707963267948966
8.0,26.0,1.5707963267948966
8.0,26.5,1.5707963267948966
8.0,27.0,1.5707963267948966
8.0,27.5,1.5707963267948966
8.0,28.0,1.5707963267948966
8.0,28.5,1.5707963267948966
8.0,29.0,1.5707963267948966
8.0,29.5,1.5707963267948966
8.0,30.0,1.5707963267948966
8.0,30.5,1.5707963267948966
8.0,31.0,1.5707963267948966
8.0,31.5,1.5707963267948966
8.0,32.0,1.5707963267948966
8.0,32.5,1.5707963267948966
8.0,33.0,1.5707963267948966
8.0,33.5,1.5707963267948966
8.0,34.0,1.5707963267948966
8.0,34.5,1.5707963267948966
8.0,35.0,1.5707963267948966
8.0,35.5,1.5707963267948966
8.0,36.0,1.2490457717982553
8.166666667,36.5,1.2490457735982523
8.333333333,37.0,1.2490457717982553
8.5,37.5,1.2490457717982553
8.5,37.5,0.5880025989321859
9.0,37.83333333,0.588002612778331
9.5,38.16666667,0.5880025989321859
10.0,38.5,0.0
10.0,38.5,0.0
10.5,38.5,0.0
11.0,38.5,0.0
11.5,38.5,0.0
12.0,38.5,0.0
12.0,38.5,0.0
12.5,38.5,0.0
13.0,38.5,0.0
13.5,38.5,0.0
14.0,38.5,0.0
14.0,38.5,0.0
14.5,38.5,0.0
15.0,38.5,0.0
15.5,38.5,0.0
16.0,38.5,0.0
16.0,38.5,0.0
16.0,38.5,0.0
16.0,38.5,0.0
16.0,38.5,0.0
16.5,38.5,0.0
17.0,38.5,0.0
17.5,38.5,0.0
18.0,38.5,0.0
18.0,38.5,0.0
18.5,38.5,0.0
19.0,38.5,0.0
19.5,38.5,0.0
20.0,38.5,0.0
20.0,38.5,0.0
20.5,38.5,0.0
21.0,38.5,0.0
21.5,38.5,0.0
22.0,38.5,0.0
22.0,38.5,0.0
22.5,38.5,0.0
23.0,38.5,0.0
23.5,38.5,0.0
24.0,38.5,0.0
24.0,38.5,0.0
24.125,38.5,0.0
24.25,38.5,0.0
24.375,38.5,0.0
24.5,38.5,0.0
